編號,名字,故事
1,Ian,小熊某天回家的時候，發現自己的粥被小女孩吃光了，柔軟的床也被霸佔了。
2,Hansel,某天帶著妹妹進到森林，迷路後走進神秘的糖果屋，殊不知這是惡夢的開始。
3,Gretel,某天跟著哥哥進到森林，迷路後走進神秘的糖果屋，殊不知這是惡夢的開始。
4,Hadley,以為自己長大會變天鵝，但其實真的就只是醜小鴨。
5,Ruth,原本是上班族，不小心被車撞死，現在在異世界當石頭，獲得神秘的力量。
6,Olivia,之前當仙女在天堂送公文，不小心打翻飲料，被貶到地上當石頭。
7,Leon,愛探險的石頭，喜歡打怪，夢想是娶到漂亮的公主。
8,Sawyer,一個被外星人盯上的小石頭，渾然不知自己身處險境。
9,Autumn,為了躲避壞人的追殺，每天都裝出一副傻傻的模樣。
10,Jayce,一個強壯的石頭，只會一直吧噗吧噗的叫。
11,Hudson,一個膽小的石頭，為了拯救主人卻可以爆發出無窮的勇氣。
12,Christopher,在森林裡和許多動物是好朋友，像是愛吃蜂蜜的小熊、粉紅色的小豬。
13,Edward,一個勇敢的石頭，夢想是成為寶可夢大師。
14,Genevieve,真性情的石頭，一言不合就跳河，但很會拉小提琴。
15,Adelaide,穿越到異世界之後，系統要求升到100等，但因為Bug始終卡在1等的可憐石頭。
16,Daniela,前世是愛拍抖音的網紅，在懸崖上拍抖音不小心摔了下去，轉世為一顆石頭。
17,Sienna,一個有點小聰明的石頭，很喜歡小熊玩偶，常常會把事情弄得一團亂。
18,Juliana,熊媽媽某天回家的時候，發現自己冷冰冰的粥被小女孩偷吃了。
19,Adalynn,飲料都喝全糖，愛喝飲料到開了一間自己的飲料店。
20,Abel,原本是塊普通的石頭，戴上皇冠後獲得了能把人冰凍的能力。
21,Gabriel,穿著裁縫口中華麗的衣裳去逛街，但國王的新衣是……
22,Charles,有個當國王的夢，總是自稱是這片大陸的國王，但說的話漏洞百出。
23,Tristan,被變成石頭的王子，在等待真愛的一個吻。
24,Lydia,是個意外被抱錯的假千金，雖然長相平平無奇，但依靠聰明才智成功闖出一片天。
25,Ashley,一個反覆無常的石頭，喜歡用撲克牌展現戲法戲弄大家。
26,Graham,以為自己是台積電晶片的石頭。
27,Daniel,愛說謊的石頭，聽說之前當過市長，還會爬樹，非常接地氣。
28,Juliana,一個不太開心的石頭，被送到火星當女王，在那裏受到人民的愛戴。
29,Paige,某天被主人丟在森林裡，至今還在原地等待，你會帶牠回家嗎？
30,Callie,總是瞪大雙眼，盯得人頭皮發毛，似乎有什麼不可告人的祕密。
31,Alice,某天跟著一隻會說話的兔子掉進了樹洞，開始了奇幻冒險。
32,Bentley,熊爸爸某天回家的時候，發現自己熱騰騰的粥被小女孩偷吃了。
33,Jeremy,一個堅硬的石頭，底下住著一個愛睡覺的海星。
34,Angela,被抱錯的真千金，回家後因為太可愛直接變成團寵。
35,Allison,擁有火系魔法的魔法學院資優生，因能力強大在學校備受歡迎。
36,Henry,曾經是個醫生，現在經常失言被炎上。
37,Kaylee,力氣很大，而且還會飛，據說曾經拯救過世界。
38,Joseph,轉入尖子班後，成為班上最平凡的存在。
39,Graice,一個調皮的石頭，會用屁股走路，常常惹家人生氣。
40,Juliet,妥妥的戀愛腦，為了愛情可以赴湯蹈火。
41,Lilah,在宇宙旅行過，曾經造訪過地球導致恐龍滅絕。
42,Kash,一個社畜大叔轉生成的貓貓石頭，喜歡裝可愛。
43,Chase,擁有世界上最強的易容術，最近將自己易容成一顆普通的石頭。
44,Angelina,看似人畜無害，但總能面無表情的說出最傷人的話。
45,Jeremiah,一個非常聰明的石頭，常常趁大人不在家發明一些神祕的東西。
46,Octavia,以為衛星導航很厲害，跑去山上找不到回家的路，只好在森林裡當石頭。
47,Henry,看起來像是一個會燃燒的石頭，實際上是某位魔法師的心臟。
48,Ezekiel,一個上班族因為滑手機被貨車撞到，醒來就穿越成石頭了，一起穿越過來的還有他的智慧型手機。
49,Amber,假裝清純的小白蓮花，本性卻異常的殘暴。
50,Shelby,經常向別人傳遞知識，但很多時候只是一本正經的說胡話。
51,Bennett,勇敢無畏的Bennett，他總是追求新的高度。有一天，他攀登到最高峰，發現了隱藏的寶藏。
52,Lena,聰明敏銳的Lena，她能與動物溝通。憑藉她獨特的天賦，她幫助一隻迷路的小鳥找到了回家的路。
53,Preston,調皮搗蛋的Preston，他喜歡捉弄朋友。但有一天，他的惡作劇搞砸了，教會了他善良和寬容的重要性。
